Entry,ChEBI_ID
P31749,CHEBI:456216
P31749,CHEBI:30616
P32119,CHEBI:35924
P32119,CHEBI:29950
P32119,CHEBI:30879
P32119,CHEBI:50058
P32119,CHEBI:15377
P32455,CHEBI:43474
P32455,CHEBI:37565
P32455,CHEBI:58189
P32455,CHEBI:15378
P32455,CHEBI:58115
P32455,CHEBI:15377
P32456,CHEBI:43474
P32456,CHEBI:37565
P32456,CHEBI:58189
P32456,CHEBI:15378
P32456,CHEBI:15377
P32929,CHEBI:35235
P32929,CHEBI:29919
P32929,CHEBI:57843
P32929,CHEBI:15378
P32929,CHEBI:58161
P32929,CHEBI:15361
P32929,CHEBI:28938
P32929,CHEBI:16763
P32929,CHEBI:57476
P32929,CHEBI:62226
P32929,CHEBI:58199
P32929,CHEBI:15377
P32929,CHEBI:597326
P33121,CHEBI:57391
P33121,CHEBI:32395
P33121,CHEBI:30616
P33121,CHEBI:57287
P33121,CHEBI:65341
P33121,CHEBI:57560
P33121,CHEBI:77250
P33121,CHEBI:72745
P33121,CHEBI:57379
P33121,CHEBI:136117
P33121,CHEBI:57368
P33121,CHEBI:84024
P33121,CHEBI:18420
P33121,CHEBI:30823
P33121,CHEBI:77268
P33121,CHEBI:83139
P33121,CHEBI:33019
P33121,CHEBI:136407
P33121,CHEBI:136408
P33121,CHEBI:90718
P33121,CHEBI:7896
P33121,CHEBI:57387
P33121,CHEBI:61526
P33121,CHEBI:78832
P33121,CHEBI:37257
P33121,CHEBI:456215
P33121,CHEBI:136409
P34913,CHEBI:75536
P34913,CHEBI:131969
P34913,CHEBI:131970
P34913,CHEBI:78100
P34913,CHEBI:76625
P34913,CHEBI:138003
P34913,CHEBI:58797
P34913,CHEBI:85150
P34913,CHEBI:85152
P34913,CHEBI:43474
