uniprot_id,chebi_id,link_type
Q6ICB0,CHEBI:74151,substrate/product
Q9UPW8,CHEBI:29108,cofactor
Q9Y2J0,CHEBI:29108,cofactor
Q13228,CHEBI:15377,substrate/product
Q13228,CHEBI:15378,substrate/product
Q13228,CHEBI:15379,substrate/product
Q13228,CHEBI:16007,substrate/product
Q13228,CHEBI:16240,substrate/product
Q13228,CHEBI:16842,substrate/product
Q13228,CHEBI:29919,substrate/product
Q16795,CHEBI:57692,cofactor
P54750,CHEBI:15377,substrate/product
P54750,CHEBI:15378,substrate/product
P54750,CHEBI:57867,substrate/product
P54750,CHEBI:58464,substrate/product
P54750,CHEBI:57746,substrate/product
P54750,CHEBI:58115,substrate/product
P54750,CHEBI:58165,substrate/product
P54750,CHEBI:456215,substrate/product
P54750,CHEBI:29105,cofactor
P54750,CHEBI:18420,cofactor
Q8N568,CHEBI:15378,substrate/product
Q8N568,CHEBI:29999,substrate/product
Q8N568,CHEBI:30616,substrate/product
Q8N568,CHEBI:83421,substrate/product
Q8N568,CHEBI:456216,substrate/product
Q8N568,CHEBI:30013,substrate/product
Q8N568,CHEBI:61977,substrate/product
P78330,CHEBI:15377,substrate/product
P78330,CHEBI:33384,substrate/product
P78330,CHEBI:43474,substrate/product
P78330,CHEBI:57524,substrate/product
P78330,CHEBI:35247,substrate/product
P78330,CHEBI:58680,substrate/product
P78330,CHEBI:18420,cofactor
Q8NEX9,CHEBI:15378,substrate/product
Q8NEX9,CHEBI:57540,substrate/product
Q8NEX9,CHEBI:57945,substrate/product
Q8NEX9,CHEBI:134626,substrate/product
Q8NEX9,CHEBI:232325,substrate/product
Q8NEX9,CHEBI:77891,substrate/product
Q8NEX9,CHEBI:77892,substrate/product
Q99798,CHEBI:15562,substrate/product
Q99798,CHEBI:16947,substrate/product
Q99798,CHEBI:49883,cofactor
Q9GZT4,CHEBI:33384,substrate/product
Q9GZT4,CHEBI:35247,substrate/product
Q9GZT4,CHEBI:15361,substrate/product
Q9GZT4,CHEBI:28938,substrate/product
Q9GZT4,CHEBI:18420,cofactor
Q9GZT4,CHEBI:29035,cofactor
Q9GZT4,CHEBI:29108,cofactor
Q9GZT4,CHEBI:597326,cofactor
P13804,CHEBI:57692,cofactor
P13929,CHEBI:15377,substrate/product
P13929,CHEBI:58289,substrate/product
P13929,CHEBI:58702,substrate/product
P13929,CHEBI:18420,cofactor
P48549,CHEBI:29103,substrate/product
P53794,CHEBI:17268,substrate/product
P53794,CHEBI:29101,substrate/product
P53794,CHEBI:10642,substrate/product
Q9UPR5,CHEBI:29101,substrate/product
Q9UPR5,CHEBI:29108,substrate/product
P49753,CHEBI:7896,substrate/product
P49753,CHEBI:15377,substrate/product
P49753,CHEBI:15378,substrate/product
P49753,CHEBI:57287,substrate/product
P49753,CHEBI:57379,substrate/product
P49753,CHEBI:30807,substrate/product
P49753,CHEBI:57385,substrate/product
P49753,CHEBI:25629,substrate/product
P49753,CHEBI:57394,substrate/product
P49753,CHEBI:32360,substrate/product
P49753,CHEBI:57380,substrate/product
P49753,CHEBI:27689,substrate/product
P49753,CHEBI:61430,substrate/product
P49753,CHEBI:18262,substrate/product
P49753,CHEBI:57375,substrate/product
P49753,CHEBI:30823,substrate/product
P49753,CHEBI:57387,substrate/product
P49753,CHEBI:32372,substrate/product
P49753,CHEBI:61540,substrate/product
P49753,CHEBI:30825,substrate/product
P49753,CHEBI:77537,substrate/product
P49753,CHEBI:30245,substrate/product
P49753,CHEBI:57383,substrate/product
Q9HA72,CHEBI:30616,substrate/product
P40925,CHEBI:15378,substrate/product
P40925,CHEBI:15589,substrate/product
P40925,CHEBI:16452,substrate/product
P40925,CHEBI:57540,substrate/product
P40925,CHEBI:57945,substrate/product
P40925,CHEBI:10980,substrate/product
P40925,CHEBI:36242,substrate/product
P40925,CHEBI:16782,substrate/product
P40925,CHEBI:16810,substrate/product
Q01813,CHEBI:15378,substrate/product
Q01813,CHEBI:30616,substrate/product
Q01813,CHEBI:32966,substrate/product
Q01813,CHEBI:57634,substrate/product
Q01813,CHEBI:456216,substrate/product
Q01813,CHEBI:18420,cofactor
Q02108,CHEBI:33019,substrate/product
Q02108,CHEBI:37565,substrate/product
Q02108,CHEBI:57746,substrate/product
Q02108,CHEBI:18420,cofactor
Q02108,CHEBI:29035,cofactor
Q9H0R5,CHEBI:15377,substrate/product
Q9H0R5,CHEBI:15378,substrate/product
Q9H0R5,CHEBI:37565,substrate/product
Q9H0R5,CHEBI:43474,substrate/product
Q9H0R5,CHEBI:58189,substrate/product
O00194,CHEBI:15377,substrate/product
O00194,CHEBI:15378,substrate/product
O00194,CHEBI:37565,substrate/product
O00194,CHEBI:43474,substrate/product
O00194,CHEBI:58189,substrate/product
O00194,CHEBI:18420,cofactor
O95677,CHEBI:15377,substrate/product
O95677,CHEBI:43474,substrate/product
O95677,CHEBI:46858,substrate/product
O95677,CHEBI:61978,substrate/product
O95677,CHEBI:18420,cofactor
P30038,CHEBI:15377,substrate/product
P30038,CHEBI:15378,substrate/product
P30038,CHEBI:29985,substrate/product
P30038,CHEBI:57540,substrate/product
P30038,CHEBI:57945,substrate/product
P30038,CHEBI:58066,substrate/product
P49411,CHEBI:15377,substrate/product
P49411,CHEBI:15378,substrate/product
P49411,CHEBI:37565,substrate/product
P49411,CHEBI:43474,substrate/product
P49411,CHEBI:58189,substrate/product
P51003,CHEBI:30616,substrate/product
P51003,CHEBI:33019,substrate/product
P51003,CHEBI:140395,substrate/product
P51003,CHEBI:173115,substrate/product
P51003,CHEBI:18420,cofactor
P51003,CHEBI:29035,cofactor
Q14197,CHEBI:15377,substrate/product
Q14197,CHEBI:15378,substrate/product
Q14197,CHEBI:59874,substrate/product
Q14197,CHEBI:78442,substrate/product
Q14197,CHEBI:138191,substrate/product
P03897,CHEBI:15378,substrate/product
P03897,CHEBI:16389,substrate/product
P03897,CHEBI:17976,substrate/product
P03897,CHEBI:57540,substrate/product
P03897,CHEBI:57945,substrate/product
Q15256,CHEBI:15377,substrate/product
Q15256,CHEBI:43474,substrate/product
Q15256,CHEBI:46858,substrate/product
Q15256,CHEBI:61978,substrate/product
Q9BUB5,CHEBI:15378,substrate/product
Q9BUB5,CHEBI:29999,substrate/product
Q9BUB5,CHEBI:30616,substrate/product
Q9BUB5,CHEBI:83421,substrate/product
Q9BUB5,CHEBI:456216,substrate/product
Q9BUB5,CHEBI:30013,substrate/product
Q9BUB5,CHEBI:61977,substrate/product
Q9BUB5,CHEBI:18420,cofactor
Q9BUT1,CHEBI:15378,substrate/product
Q9BUT1,CHEBI:57540,substrate/product
Q9BUT1,CHEBI:57945,substrate/product
Q9BUT1,CHEBI:63727,substrate/product
Q9BUT1,CHEBI:84813,substrate/product
Q9BUT1,CHEBI:10983,substrate/product
Q9BUT1,CHEBI:13705,substrate/product
Q9NXB9,CHEBI:15378,substrate/product
Q9NXB9,CHEBI:16526,substrate/product
Q9NXB9,CHEBI:57287,substrate/product
Q9NXB9,CHEBI:57384,substrate/product
Q9NXB9,CHEBI:90725,substrate/product
Q9NXB9,CHEBI:90736,substrate/product
