chebi_id,name,description,formula,mass,charge,monoisotopic_mass,smiles,inchikey,ontology_parents,ontology_parent_ids,kegg_compound_id
CHEBI:146168,petroselinamide,A primary fatty amide resulting from the formal condensation of the carboxy group of petroselinic acid with ammonia.,,281.484,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:146186,N-(docosanoyl)ethanolamine,An <em>N</em>-(long-chain-acyl)ethanolamine that is the ethanolamide of docosanoic acid.,,383.661,0.0,,,,N-(saturated fatty acyl)ethanolamine; N-(long-chain-acyl)ethanolamine,CHEBI:85283; CHEBI:15897,
CHEBI:146187,N-(15Z-tetracosenoyl)ethanolamine,A <em>N</em>-(long-chain-acyl)ethanolamine that is the ethanolamide of (15<i>Z</i>)-tetracosenoic acid.,,409.699,0.0,,,,N-(monounsaturated fatty acyl)ethanolamine; endocannabinoid; N-(long-chain-acyl)ethanolamine,CHEBI:85282; CHEBI:67197; CHEBI:15897,
CHEBI:146191,N-oleoyltaurine(1-),A fatty acid-taurine conjugate obtained by deprotonation of the sulfonate group of <em>N</em>-oleoyltaurine; major species at pH 7.3.,,388.594,-1.0,,,,fatty acid-taurine conjugate(1-),CHEBI:132040,
CHEBI:146196,N-docosanoyltaurine(1-),A fatty acid-taurine conjugate(1−) obtained by deprotonation of the sulfo group of <em>N</em>-docosanoyltaurine; major species at pH 7.3.,,446.718,-1.0,,,,fatty acid-taurine conjugate(1-),CHEBI:132040,
CHEBI:146197,N-tricosanoyltaurine(1-),,,460.745,-1.0,,,,fatty acid-taurine conjugate(1-),CHEBI:132040,
CHEBI:146198,N-nervonoyltaurine(1-),A fatty acid-taurine conjugate obtained by deprotonation of the sulfonate group of <em>N</em>-nervonoyltaurine; major species at pH 7.3.,,472.756,-1.0,,,,fatty acid-taurine conjugate(1-),CHEBI:132040,
CHEBI:14649,NMN(-),,,333.213,-1.0,,,,nicotinamide mononucleotide,CHEBI:50383,
CHEBI:147350,angiotensin I dizwitterion,A peptide zwitterion that is the dizwitterionic form of angiotensin I having both carboxy groups deprotonated and the aspartyl amino group and arginine side-chain protonated. It is the major species at pH 7.3.,,1296.499,0.0,,,,peptide zwitterion,CHEBI:60466,
CHEBI:147352,"[des-Phe(8), des-Arg(9)]-bradykinin(1+)","A peptide cation obtained by deprotonation of the carboxy group and protonation of the primary amino and guanidino groups of [des-Phe<small><sup>8</small></sup>, des-Arg<small><sup>9</small></sup>]-bradykinin. It is the major species at pH 7.3.",,757.87,1.0,,,,peptide cation,CHEBI:60194,
CHEBI:147362,neurotensin(1+),"A peptide cation obtained from the deprotonation of the carboxy groups of <small>L</small>-α-glutamyl and <small>L</small>-leucine residues, and protonation of the side chains of <small>L</small>-lysyl and <small>L</small>-arginyl residues of neurotensin. It is the major species at pH 7.3.",,1673.961,1.0,,,,peptide cation,CHEBI:60194,
CHEBI:149494,S-nitroso-L-cysteine residue,An <small>L</small>-α-amino-acid residue derived from <em>S</em>-nitroso-<small>L</small>-cysteine.,,132.144,0.0,,,,L-alpha-amino acid residue,CHEBI:83228,
CHEBI:149631,"N-hexanoyl-sphinga-4E,14Z-dienine",,,395.628,0.0,,,,"N-acyl-(4E,14Z)-sphingadienine",CHEBI:139573,
CHEBI:149697,N-arachidonoyl-L-serine(1-),"A <em>N</em>-(fatty acyl)-<small>L</small>-serine(1−) that is the conjugate base of <em>N</em>-arachidonoyl-<small>L</small>-serine, resulting from the derotonation of the carboxy group. Major species at pH 7.3.",,390.544,-1.0,,,,N-(fatty acyl)-L-serine(1-),CHEBI:149698,
CHEBI:149699,N-palmitoyl-L-phenylalanine(1-),,,402.599,-1.0,,,,N-(fatty acyl)-L-phenylalanine(1-),CHEBI:149690,
CHEBI:149700,N-stearoyl-L-phenylalanine(1-),,,430.653,-1.0,,,,N-(fatty acyl)-L-phenylalanine(1-),CHEBI:149690,
CHEBI:149701,N-DHA-L-phenylalanine(1-),,,474.665,-1.0,,,,N-(fatty acyl)-L-phenylalanine(1-),CHEBI:149690,
CHEBI:149730,N-oleoyl-L-asparagine(1-),,,395.564,-1.0,,,,N-(fatty acyl)-L-asparagine(1-),CHEBI:149735,
CHEBI:149731,N-oleoyl-L-lysine zwitterion,,,410.643,0.0,,,,N-(fatty acyl)-L-lysine zwitterion,CHEBI:149736,
CHEBI:149732,N-oleoyl-L-methionine(1-),,,412.66,-1.0,,,,N-(fatty acyl)-L-methionine(1-),CHEBI:149737,
CHEBI:149733,N-oleoyl-L-tryptophan(1-),,,467.674,-1.0,,,,N-(fatty acyl)-L-tryptophan(1-),CHEBI:149738,
CHEBI:149734,N-oleoyl-L-tyrosine(1-),,,444.636,-1.0,,,,N-(fatty acyl)-L-tyrosine(1-),CHEBI:149739,
CHEBI:149768,1-(10Z-heptadecenoyl)-sn-glycero-3-phosphoethanolamine zwitterion,A 1-acyl-<em>sn</em>-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the amino to the phosphate group of 1-(10<i>Z</i>-heptadecenoyl)-<em>sn</em>-glycero-3-phosphoethanolamine.,,465.568,0.0,,,,1-acyl-sn-glycero-3-phosphoethanolamine zwitterion,CHEBI:64381,
CHEBI:149769,1-(10Z-heptadecenoyl)-2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion,A phosphatidylethanolamine 37:5 zwitterion in which the acyl groups at positions 1 and 2 are specified as 10<i>Z</i>-heptadecenoyl and arachidonoyl respectively.,,752.027,0.0,,,,1-acyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion; phosphatidylethanolamine 37:5 zwitterion,CHEBI:75067; CHEBI:131584,
